ID,Address,Match,MatchType,MatchAddress,Lat,Long,RL,State,County,CountySubdiv,Block,BlockGroup,
4970,"101 KENT, Charlottesville, VA, 22903",Match,Non_Exact,"101 KENT TER, CHARLOTTESVILLE, VA, 22903","-78.50985,38.028297",639667138,R,51,540,600,2000,515400006002000,
3640,"503 ROCKLAND A, Charlottesville, VA, 22902",Match,Non_Exact,"503 ROCKLAND AVE, CHARLOTTESVILLE, VA, 22902","-78.48604,38.019676",83370824,L,51,540,401,2000,515400004012000,
4971,"101 MORGAN, Charlottesville, VA, 22903",Match,Non_Exact,"101 MORGAN CT, CHARLOTTESVILLE, VA, 22903","-78.519,38.02182",635729243,R,51,540,502,3003,515400005023003,
2306,"1315 HAMPTON, Charlottesville, VA, 22902",Match,Non_Exact,"1315 HAMPTON ST, CHARLOTTESVILLE, VA, 22902","-78.47071,38.02045",83371242,L,51,540,402,3001,515400004023001,
3638,"503 East MARKET, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
4969,"101 Carrolton, Charlottesville, VA, 22903",Match,Non_Exact,"101 CARROLLTON TER, CHARLOTTESVILLE, VA, 22903","-78.510574,38.02798",83369214,R,51,540,600,2000,515400006002000,
2305,"1315 CHESAPEAKE, Charlottesville, VA, 22902",Match,Non_Exact,"1315 CHESAPEAKE ST, CHARLOTTESVILLE, VA, 22902","-78.4655,38.026993",83405915,L,51,540,302,2008,515400003022008,
3639,"503 PARK, Charlottesville, VA, 22902",Tie,,,,,,,,,,0,
2304,"1314 CARLTON, Charlottesville, VA, 22902",Match,Non_Exact,"1314 CARLTON AVE, CHARLOTTESVILLE, VA, 22902","-78.46919,38.022255",651944268,R,51,540,402,3001,515400004023001,
2303,"1314 BITTERNUT, Charlottesville, VA, 22902",Tie,,,,,,,,,,0,
2302,"1313 HAMPTON, Charlottesville, VA, 22902",Match,Non_Exact,"1313 HAMPTON ST, CHARLOTTESVILLE, VA, 22902","-78.47074,38.020477",83371242,L,51,540,402,3001,515400004023001,
2301,"1313 East MARKET A, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
2300,"1312 Popular, Charlottesville, VA, 22902",Match,Non_Exact,"1312 POPLAR ST, CHARLOTTESVILLE, VA, 22902","-78.46705,38.033016",83371125,R,51,540,302,1017,515400003021017,
3630,"501 RIDGE, Charlottesville, VA, 22902",Match,Non_Exact,"501 RIDGE ST, CHARLOTTESVILLE, VA, 22902","-78.48693,38.027206",83406815,R,51,540,401,1017,515400004011017,
4961,"1007 CHERRY, Charlottesville, VA, 22903",Match,Non_Exact,"1007 CHERRY AVE, CHARLOTTESVILLE, VA, 22903","-78.49718,38.028435",83369559,R,51,540,501,2009,515400005012009,
3631,"501 ROCKLAND, Charlottesville, VA, 22902",Match,Non_Exact,"501 ROCKLAND AVE, CHARLOTTESVILLE, VA, 22902","-78.48619,38.01974",83370824,L,51,540,401,2000,515400004012000,
4962,"1007 PAGE, Charlottesville, VA, 22903",Match,Non_Exact,"1007 PAGE ST, CHARLOTTESVILLE, VA, 22903","-78.493965,38.035408",83406620,R,51,540,202,1004,515400002021004,
3632,"502 2ND Northeast, Charlottesville, VA, 22902",Match,Non_Exact,"502 2ND ST NE, CHARLOTTESVILLE, VA, 22902","-78.47891,38.034462",83370676,R,51,540,1000,2017,515400010002017,
4963,"1008 CHERRY, Charlottesville, VA, 22903",Match,Non_Exact,"1008 CHERRY AVE, CHARLOTTESVILLE, VA, 22903","-78.49718,38.028423",83369559,L,51,540,501,2011,515400005012011,
3633,"502 East MARKET, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
4964,"1009 PAGE, Charlottesville, VA, 22903",Match,Non_Exact,"1009 PAGE ST, CHARLOTTESVILLE, VA, 22903","-78.49399,38.035416",83406620,R,51,540,202,1004,515400002021004,
3634,"502 PARK, Charlottesville, VA, 22902",Tie,,,,,,,,,,0,
4965,"1009 WINTERGREEN, Charlottesville, VA, 22903",Match,Non_Exact,"1009 WINTERGREEN LN, CHARLOTTESVILLE, VA, 22903","-78.53282,38.007305",83380256,L,51,3,11202,3014,5130112023014,
2309,"1316 Hampton Street, Charlottesville, VA, 22902",Match,Exact,"1316 HAMPTON ST, CHARLOTTESVILLE, VA, 22902","-78.47069,38.020416",83371242,R,51,540,402,3005,515400004023005,
3635,"502 ROUGEMONT, Charlottesville, VA, 22902",Match,Non_Exact,"502 ROUGEMONT AVE, CHARLOTTESVILLE, VA, 22902","-78.48794,38.018032",83370825,R,51,540,401,2007,515400004012007,
4966,"101 CAMELLIA, Charlottesville, VA, 22903",Match,Non_Exact,"101 CAMELLIA DR, CHARLOTTESVILLE, VA, 22903","-78.510895,38.015106",83369640,R,51,540,502,5004,515400005025004,
2308,"1316 HAMPTON, Charlottesville, VA, 22902",Match,Non_Exact,"1316 HAMPTON ST, CHARLOTTESVILLE, VA, 22902","-78.47069,38.020416",83371242,R,51,540,402,3005,515400004023005,
3636,"502 STONEHENGE A, Charlottesville, VA, 22902",Match,Non_Exact,"502 STONEHENGE AVE, CHARLOTTESVILLE, VA, 22902","-78.485695,38.02024",83370834,R,51,540,401,2000,515400004012000,
4967,"101 CARROLLTON, Charlottesville, VA, 22903",Match,Non_Exact,"101 CARROLLTON TER, CHARLOTTESVILLE, VA, 22903","-78.510574,38.02798",83369214,R,51,540,600,2000,515400006002000,
2307,"1316 CARLTON, Charlottesville, VA, 22902",Match,Non_Exact,"1316 CARLTON AVE, CHARLOTTESVILLE, VA, 22902","-78.469154,38.022236",651944268,R,51,540,402,3001,515400004023001,
3637,"503 DRUID, Charlottesville, VA, 22902",Match,Non_Exact,"503 DRUID AVE, CHARLOTTESVILLE, VA, 22902","-78.4849,38.021202",83405664,L,51,540,401,2000,515400004012000,
4968,"101 CARROLLTON 03, Charlottesville, VA, 22903",Match,Non_Exact,"101 CARROLLTON TER, CHARLOTTESVILLE, VA, 22903","-78.510574,38.02798",83369214,R,51,540,600,2000,515400006002000,
4980,"1010 Wertland st, Charlottesville, VA, 22903",Match,Exact,"1010 WERTLAND ST, CHARLOTTESVILLE, VA, 22903","-78.49431,38.03402",83405621,L,51,540,202,1019,515400002021019,
3650,"505 ELLIOTT, Charlottesville, VA, 22902",Match,Non_Exact,"505 ELLIOTT AVE, CHARLOTTESVILLE, VA, 22902","-78.483765,38.022354",83370841,L,51,540,401,1005,515400004011005,
4981,"1012 GRADY, Charlottesville, VA, 22903",Match,Non_Exact,"1012 GRADY AVE, CHARLOTTESVILLE, VA, 22903","-78.49327,38.039036",83369440,L,51,540,202,1002,515400002021002,
3651,"505 PARK, Charlottesville, VA, 22902",Tie,,,,,,,,,,0,
4982,"1014 Emmett, Charlottesville, VA, 22903",No_Match,,,,,,,,,,0,
2320,"1320 East MARKET, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
2317,"1318 HAMPTON, Charlottesville, VA, 22902",Match,Non_Exact,"1318 HAMPTON ST, CHARLOTTESVILLE, VA, 22902","-78.47066,38.02039",83371242,R,51,540,402,3005,515400004023005,
3649,"505 East MARKET, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
1,"574 ROCKFISH GAP _NEL_ TPKE @ ROYAL ORCHARD _NEL_, Afton, VA, 22920",No_Match,,,,,,,,,,0,
2316,"1317 WILLOW, Charlottesville, VA, 22902",Match,Non_Exact,"1317 WILLOW DR, CHARLOTTESVILLE, VA, 22902","-78.46179,38.0347",83371465,L,51,540,302,1006,515400003021006,
2,"7330 BATESVILLE, Afton, VA, 22920",Match,Non_Exact,"7330 BATESVILLE RD, AFTON, VA, 22920","-78.75208,37.99181",83357503,L,51,3,11201,2046,5130112012046,
2315,"1317 Market East, Charlottesville, VA, 22902",Match,Non_Exact,"1317 MARKET ST E, CHARLOTTESVILLE, VA, 22902","-78.46602,38.025814",83371269,L,51,540,302,2009,515400003022009,
3,"ROCKFISH GAP TPKE / LITTLE ROCK, Afton, VA, 22920",No_Match,,,,,,,,,,0,
2314,"1317 East MARKET UPSTAIRS, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
4,"East I64 MM121 East, Albemarle, VA, 22902",No_Match,,,,,,,,,,0,
2313,"1317 East MARKET A, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
5,"I64 MM120, albemarle, VA, 22902",No_Match,,,,,,,,,,0,
2312,"1317 East MARKET, Charlottesville, VA, 22902",No_Match,,,,,,,,,,0,
6,"0 I-64 117 WB, Albemarle, VA, 22903",No_Match,,,,,,,,,,0,
2311,"1317 CARLTON, Charlottesville, VA, 22902",Match,Non_Exact,"1317 CARLTON AVE, CHARLOTTESVILLE, VA, 22902","-78.46889,38.02213",651944268,L,51,540,402,3000,515400004023000,
7,"0 MM 118 I 64 West, Albemarle, VA, 22903",No_Match,,,,,,,,,,0,
2310,"1316 WILLOW A, Charlottesville, VA, 22902",Match,Non_Exact,"1316 WILLOW DR, CHARLOTTESVILLE, VA, 22902","-78.4618,38.034706",83371465,R,51,540,302,1004,515400003021004,
8,"MM 114 I-64 EB, Albemarle, VA, 22903",No_Match,,,,,,,,,,0,
3641,"504 6TH Southeast, Charlottesville, VA, 22902",Match,Non_Exact,"504 6TH ST SE, CHARLOTTESVILLE, VA, 22902","-78.47964,38.026524",83370888,L,51,540,401,1011,515400004011011,
4972,"101 MORRIS PAUL, Charlottesville, VA, 22903",Match,Non_Exact,"101 MORRIS PAUL CT, CHARLOTTESVILLE, VA, 22903","-78.52212,38.02433",83405652,R,51,540,600,1009,515400006001009,
9,"156 BRANDYWINE, Charlotterville, VA, 22901",Match,Non_Exact,"156 BRANDYWINE CT, CHARLOTTESVILLE, VA, 22901","-78.48713,38.05716",83406087,R,51,540,800,3004,515400008003004,
3642,"504 6TH ST SE, Charlottesville, VA, 22902",Match,Exact,"504 6TH ST SE, CHARLOTTESVILLE, VA, 22902","-78.47964,38.026524",83370888,L,51,540,401,1011,515400004011011,
4973,"101 MORRIS PAUL A, Charlottesville, VA, 22903",Match,Non_Exact,"101 MORRIS PAUL CT, CHARLOTTESVILLE, VA, 22903","-78.52212,38.02433",83405652,R,51,540,600,1009,515400006001009,
3643,"504 6th Street Southwest, Charlottesville, VA, 22902",Match,Non_Exact,"504 6TH ST SE, CHARLOTTESVILLE, VA, 22902","-78.47964,38.026524",83370888,L,51,540,401,1011,515400004011011,
4974,"101 MORRIS PAUL B, Charlottesville, VA, 22903",Match,Non_Exact,"101 MORRIS PAUL CT, CHARLOTTESVILLE, VA, 22903","-78.52212,38.02433",83405652,R,51,540,600,1009,515400006001009,
