,Unnamed: 0,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates,BlockGroup
0,0,2016-00006845,2627 Jefferson Park Charlottesville VA 22903,2627 Jefferson Park,Charlottesville,VA,22903,38.017795,-78.517822,"(38.017795, -78.517822)",515400005023012
1,4,2017-00000006,206 HARTMANS MILL Charlottesville VA 22902,206 HARTMANS MILL,Charlottesville,VA,22902,38.020247,-78.488447,"(38.020247, -78.488447)",515400004012004
2,8,2017-00000007,102 14TH Northwest Charlottesville VA 22903,102 14TH Northwest,Charlottesville,VA,22903,38.034384,-78.499341,"(38.034384, -78.499341)",515400002022008
3,11,2017-00000012,2307 North BERKSHIRE B Charlottesville VA 22901,2307 North BERKSHIRE B,Charlottesville,VA,22901,38.063451,-78.497554,"(38.063451, -78.497554)",515400008004013
4,16,2017-00000014,1311 CARLTON Charlottesville VA 22902,1311 CARLTON,Charlottesville,VA,22902,38.022725,-78.468439,"(38.022725, -78.468439)",515400004023000
5,22,2017-00000015,2507 PLATEAU A Charlottesville VA 22903,2507 PLATEAU A,Charlottesville,VA,22903,38.025511,-78.520957,"(38.025511, -78.520957)",515400006002017
6,25,2017-00000018,105 North Emmett 216 Charlottesville VA 22903,105 North Emmett 216,Charlottesville,VA,22903,38.040456,-78.506433,"(38.040456, -78.506433)",515400007004014
7,29,2017-00000020,475 RIDGE MCINTIRE Charlottesville VA 22903,475 RIDGE MCINTIRE,Charlottesville,VA,22903,38.032917,-78.484674,"(38.032917, -78.484674)",515400010001022
8,867,2017-00000404,475 Ridge Mcintire Charlottesville VA 22903,475 Ridge Mcintire,Charlottesville,VA,22903,38.032917,-78.484674,"(38.032917, -78.484674)",515400010001022
9,32,2017-00000021,313 2ND Southeast 100 Charlottesville VA 22902,313 2ND Southeast 100,Charlottesville,VA,22902,38.028875,-78.480888,"(38.028875, -78.480888)",515400010001065
10,36,2017-00000025,1321 West MAIN Charlottesville VA 22903,1321 West MAIN,Charlottesville,VA,22903,38.033908,-78.498291,"(38.033908, -78.498291)",515400002022008
11,40,2017-00000027,709 6TH Southeast A Charlottesville VA 22902,709 6TH Southeast A,Charlottesville,VA,22902,38.025079,-78.481207,"(38.025079, -78.481207)",515400004011004
12,46,2017-00000036,1159 EMMET North Charlottesville VA 22903,1159 EMMET North,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)",515400007003009
13,291,2017-00000143,1159 Emmett St Charlottesville VA 22903,1159 Emmett St,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)",515400007003009
14,701,2017-00000331,1159 EMMET North Charlottesville VA 22903,1159 EMMET North,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)",515400007003009
15,785,2017-00000364,1159 EMMET North Charlottesville VA 22903,1159 EMMET North,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)",515400007003009
16,49,2017-00000038,76 OAK FOREST Charlottesville VA 22901,76 OAK FOREST,Charlottesville,VA,22901,38.073618,-78.497527,"(38.073618, -78.497527)",510030107003000
17,51,2017-00000046,409 GARRETT D Charlottesville VA 22902,409 GARRETT D,Charlottesville,VA,22902,38.027547,-78.48069,"(38.027547, -78.48069)",515400004011002
18,213,2017-00000119,409 Garrett St D Charlottesville VA 22902,409 Garrett St D,Charlottesville,VA,22902,38.027547,-78.48069,"(38.027547, -78.48069)",515400004011002
19,55,2017-00000047,1 MORTON 100 Charlottesville VA 22903,1 MORTON 100,Charlottesville,VA,22903,38.055487,-78.495342,"(38.055487, -78.495342)",515400007002006
20,61,2017-00000051,908 HENRY Charlottesville VA 22903,908 HENRY,Charlottesville,VA,22903,38.039369,-78.487108,"(38.039369, -78.487108)",515400002012001
21,62,2017-00000053,1206 GROVE Charlottesville VA 22903,1206 GROVE,Charlottesville,VA,22903,38.028961,-78.500845,"(38.028961, -78.500845)",515400005012002
22,65,2017-00000056,1400 Monticello Road 215 Charlottesville VA 22902,1400 Monticello Road 215,Charlottesville,VA,22902,38.019588,-78.472369,"(38.019588, -78.472369)",515400004023006
23,66,2017-00000057,1417 Rutledge Ave Charlottesville VA 22903,1417 Rutledge Ave,Charlottesville,VA,22903,38.046295,-78.481323,"(38.046295, -78.481323)",515400007001008
24,70,2017-00000058,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)",515400007003011
25,588,2017-00000282,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)",515400007003011
26,663,2017-00000311,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)",515400007003011
27,75,2017-00000060,1175 JOHN W WARNER Charlottesville VA 22901,1175 JOHN W WARNER,Charlottesville,VA,22901,38.052897,-78.469409,"(38.052897, -78.469409)",510030106021039
28,80,2017-00000061,975 Emmet Charlottesville VA 22903,975 Emmet,Charlottesville,VA,22903,38.051522,-78.502124,"(38.051522, -78.502124)",515400007003009
29,84,2017-00000063,1540 JEFFERSON PARK Charlottesville VA 22903,1540 JEFFERSON PARK,Charlottesville,VA,22903,38.032038,-78.505455,"(38.032038, -78.505455)",515400006001009
30,88,2017-00000064,1611 UNIVERSITY Charlottesville VA 22903,1611 UNIVERSITY,Charlottesville,VA,22903,38.035864,-78.500699,"(38.035864, -78.500699)",515400002023011
31,98,2017-00000070,1415 FOREST RIDGE Charlottesville VA 22903,1415 FOREST RIDGE,Charlottesville,VA,22903,38.023875,-78.498594,"(38.023875, -78.498594)",515400005013000
32,101,2017-00000072,414 Moseley A Charlottesville VA 22903,414 Moseley A,Charlottesville,VA,22903,38.018017,-78.508029,"(38.018017, -78.508029)",515400005021002
33,107,2017-00000075,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
34,6075,2017-00002961,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
35,7090,2017-00003486,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
36,11867,2017-00005999,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
37,12936,2017-00006607,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
38,19929,2017-00010112,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
39,33986,2018-00005412,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
40,66209,2019-00008538,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)",510030109031002
41,113,2017-00000076,1300 Carlton Ave Charlottesville VA 22902,1300 Carlton Ave,Charlottesville,VA,22902,38.019199,-78.469151,"(38.019199, -78.469151)",515400004023008
42,29245,2018-00002833,RIVES Charlottesville VA 22902,RIVES,Charlottesville,VA,22902,38.019199,-78.469151,"(38.019199, -78.469151)",515400004023008
43,116,2017-00000079,415 Fairway Charlottesville VA 22902,415 Fairway,Charlottesville,VA,22902,38.028241,-78.463301,"(38.028241, -78.463301)",515400003022005
44,121,2017-00000080,401 4th Northwest 219 Charlottesville VA 22903,401 4th Northwest 219,Charlottesville,VA,22903,38.034024,-78.485229,"(38.034024, -78.485229)",515400010001022
45,276,2017-00000138,401 4TH Northwest 219 Charlottesville VA 22903,401 4TH Northwest 219,Charlottesville,VA,22903,38.034024,-78.485229,"(38.034024, -78.485229)",515400010001022
46,127,2017-00000082,500 South 1st 407 Charlottesville VA 22902,500 South 1st 407,Charlottesville,VA,22902,38.027063,-78.482995,"(38.027063, -78.482995)",515400004011006
47,385,2017-00000187,500 South 1st 408 Charlottesville VA 22902,500 South 1st 408,Charlottesville,VA,22902,38.027063,-78.482995,"(38.027063, -78.482995)",515400004011006
48,132,2017-00000084,764 Prospect Ave D Charlottesville VA 22903,764 Prospect Ave D,Charlottesville,VA,22903,38.023315,-78.493913,"(38.023315, -78.493913)",515400005011012
49,137,2017-00000087,325 10 1/2 Street Northwest Charlottesville VA 22903,325 10 1/2 Street Northwest,Charlottesville,VA,22903,38.0363,-78.494081,"(38.0363, -78.494081)",515400002021005
50,143,2017-00000088,108 LANKFORD Charlottesville VA 22902,108 LANKFORD,Charlottesville,VA,22902,38.021668,-78.487315,"(38.021668, -78.487315)",515400004011016
51,148,2017-00000090,Meade ave Charlottesville VA 22902,Meade ave,Charlottesville,VA,22902,38.028806,-78.465822,"(38.028806, -78.465822)",515400003021033
52,10934,2017-00005550,403 Meade Charlottesville VA 22902,403 Meade,Charlottesville,VA,22902,38.028806,-78.465822,"(38.028806, -78.465822)",515400003021033
53,153,2017-00000093,EMMET ST N / BARRACKS Charlottesville VA 22903,EMMET ST N / BARRACKS,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)",515400007003015
54,30607,2018-00003591,EMMET ST N / BARRACKS Charlottesville VA 22903,EMMET ST N / BARRACKS,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)",515400007003015
55,67801,2019-00009310,BARRACKS RD / EMMET North Charlottesville VA 22903,BARRACKS RD / EMMET North,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)",515400007003015
56,101110,2021-00002237,EMMET ST N @ BARRACKS Charlottesville VA 22903,EMMET ST N @ BARRACKS,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)",515400007003015
57,154,2017-00000094,800 CALHOUN Charlottesville VA 22901,800 CALHOUN,Charlottesville,VA,22901,38.04172,-78.465012,"(38.04172, -78.465012)",515400009001009
58,156,2017-00000095,1904 EMMET North Charlottesville VA 22901,1904 EMMET North,Charlottesville,VA,22901,38.060106,-78.491242,"(38.060106, -78.491242)",515400008004024
59,159,2017-00000098,0 400 BRANDON Charlottesville VA 22903,0 400 BRANDON,Charlottesville,VA,22903,38.032002,-78.503592,"(38.032002, -78.503592)",515400006001005
60,53229,2019-00002367,0 400 BRANDON Charlottesville VA 22903,0 400 BRANDON,Charlottesville,VA,22903,38.032002,-78.503592,"(38.032002, -78.503592)",515400006001005
61,171,2017-00000099,1149 SEMINOLE Charlottesville VA 22901,1149 SEMINOLE,Charlottesville,VA,22901,38.065551,-78.487773,"(38.065551, -78.487773)",515400008004006
62,657,2017-00000306,1249 Seminole Charlottesville VA 22901,1249 Seminole,Charlottesville,VA,22901,38.065551,-78.487773,"(38.065551, -78.487773)",515400008004006
63,172,2017-00000104,100 ELLIOTT 204 Charlottesville VA 22902,100 ELLIOTT 204,Charlottesville,VA,22902,38.025815,-78.488792,"(38.025815, -78.488792)",515400004011012
64,178,2017-00000106,622 250 A Charlottesville VA 22902,622 250 A,Charlottesville,VA,22902,38.03955,-78.470475,"(38.03955, -78.470475)",515400010003000
65,202,2017-00000112,600 MASSIE Charlottesville VA 22903,600 MASSIE,Charlottesville,VA,22903,38.053602,-78.507727,"(38.053602, -78.507727)",515400007003003
66,1256,2017-00000585,600 MASSIE Charlottesville VA 22903,600 MASSIE,Charlottesville,VA,22903,38.053602,-78.507727,"(38.053602, -78.507727)",515400007003003
67,208,2017-00000115,207 Ridge St Charlottesville VA 22903,207 Ridge St,Charlottesville,VA,22903,38.029303,-78.486026,"(38.029303, -78.486026)",515400004011007
68,521,2017-00000265,207 Ridge Charlottesville VA 22903,207 Ridge,Charlottesville,VA,22903,38.029303,-78.486026,"(38.029303, -78.486026)",515400004011007
69,211,2017-00000118,508 HARRIS Charlottesville VA 22903,508 HARRIS,Charlottesville,VA,22903,38.014451,-78.503218,"(38.014451, -78.503218)",515400005025001
70,216,2017-00000120,102 Hartford Ct Charlottesville VA 22902,102 Hartford Ct,Charlottesville,VA,22902,38.018714,-78.471942,"(38.018714, -78.471942)",515400004023006
71,222,2017-00000122,1411 Baker Charlottesville VA 22903,1411 Baker,Charlottesville,VA,22903,38.025729,-78.502881,"(38.025729, -78.502881)",515400005012001
72,226,2017-00000124,1413 Cherry Ave Charlottesville VA 22903,1413 Cherry Ave,Charlottesville,VA,22903,38.024881,-78.502277,"(38.024881, -78.502277)",515400005012015
73,232,2017-00000125,1514 AMHERST Charlottesville VA 22903,1514 AMHERST,Charlottesville,VA,22903,38.042598,-78.485511,"(38.042598, -78.485511)",515400002011012
74,237,2017-00000126,200 AVON Charlottesville VA 22902,200 AVON,Charlottesville,VA,22902,38.028171,-78.477239,"(38.028171, -78.477239)",515400010001066
75,241,2017-00000127,310 East MAIN 100 Charlottesville VA 22902,310 East MAIN 100,Charlottesville,VA,22902,38.030059,-78.479475,"(38.030059, -78.479475)",515400010001043
76,244,2017-00000129,345 CRISPELL Charlottesville VA 22903,345 CRISPELL,Charlottesville,VA,22903,38.030378,-78.501118,"(38.030378, -78.501118)",515400006001007
