,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates
0,2016-00006845,2627 Jefferson Park Charlottesville VA 22903,2627 Jefferson Park,Charlottesville,VA,22903,38.017795,-78.517822,"(38.017795, -78.517822)"
4,2017-00000006,206 HARTMANS MILL Charlottesville VA 22902,206 HARTMANS MILL,Charlottesville,VA,22902,38.020247,-78.488447,"(38.020247, -78.488447)"
8,2017-00000007,102 14TH Northwest Charlottesville VA 22903,102 14TH Northwest,Charlottesville,VA,22903,38.034384,-78.499341,"(38.034384, -78.499341)"
11,2017-00000012,2307 North BERKSHIRE B Charlottesville VA 22901,2307 North BERKSHIRE B,Charlottesville,VA,22901,38.063451,-78.497554,"(38.063451, -78.497554)"
16,2017-00000014,1311 CARLTON Charlottesville VA 22902,1311 CARLTON,Charlottesville,VA,22902,38.022725,-78.468439,"(38.022725, -78.468439)"
22,2017-00000015,2507 PLATEAU A Charlottesville VA 22903,2507 PLATEAU A,Charlottesville,VA,22903,38.025511,-78.520957,"(38.025511, -78.520957)"
25,2017-00000018,105 North Emmett 216 Charlottesville VA 22903,105 North Emmett 216,Charlottesville,VA,22903,38.040456,-78.506433,"(38.040456, -78.506433)"
29,2017-00000020,475 RIDGE MCINTIRE Charlottesville VA 22903,475 RIDGE MCINTIRE,Charlottesville,VA,22903,38.032917,-78.484674,"(38.032917, -78.484674)"
32,2017-00000021,313 2ND Southeast 100 Charlottesville VA 22902,313 2ND Southeast 100,Charlottesville,VA,22902,38.028875,-78.480888,"(38.028875, -78.480888)"
36,2017-00000025,1321 West MAIN Charlottesville VA 22903,1321 West MAIN,Charlottesville,VA,22903,38.033908,-78.498291,"(38.033908, -78.498291)"
40,2017-00000027,709 6TH Southeast A Charlottesville VA 22902,709 6TH Southeast A,Charlottesville,VA,22902,38.025079,-78.481207,"(38.025079, -78.481207)"
46,2017-00000036,1159 EMMET North Charlottesville VA 22903,1159 EMMET North,Charlottesville,VA,22903,38.053242,-78.50021,"(38.053242, -78.50021)"
49,2017-00000038,76 OAK FOREST Charlottesville VA 22901,76 OAK FOREST,Charlottesville,VA,22901,38.073618,-78.497527,"(38.073618, -78.497527)"
51,2017-00000046,409 GARRETT D Charlottesville VA 22902,409 GARRETT D,Charlottesville,VA,22902,38.027547,-78.48069,"(38.027547, -78.48069)"
55,2017-00000047,1 MORTON 100 Charlottesville VA 22903,1 MORTON 100,Charlottesville,VA,22903,38.055487,-78.495342,"(38.055487, -78.495342)"
61,2017-00000051,908 HENRY Charlottesville VA 22903,908 HENRY,Charlottesville,VA,22903,38.039369,-78.487108,"(38.039369, -78.487108)"
62,2017-00000053,1206 GROVE Charlottesville VA 22903,1206 GROVE,Charlottesville,VA,22903,38.028961,-78.500845,"(38.028961, -78.500845)"
65,2017-00000056,1400 Monticello Road 215 Charlottesville VA 22902,1400 Monticello Road 215,Charlottesville,VA,22902,38.019588,-78.472369,"(38.019588, -78.472369)"
66,2017-00000057,1417 Rutledge Ave Charlottesville VA 22903,1417 Rutledge Ave,Charlottesville,VA,22903,38.046295,-78.481323,"(38.046295, -78.481323)"
70,2017-00000058,975 EMMET North Charlottesville VA 22903,975 EMMET North,Charlottesville,VA,22903,38.050167,-78.503658,"(38.050167, -78.503658)"
75,2017-00000060,1175 JOHN W WARNER Charlottesville VA 22901,1175 JOHN W WARNER,Charlottesville,VA,22901,38.052897,-78.469409,"(38.052897, -78.469409)"
80,2017-00000061,975 Emmet Charlottesville VA 22903,975 Emmet,Charlottesville,VA,22903,38.051522,-78.502124,"(38.051522, -78.502124)"
84,2017-00000063,1540 JEFFERSON PARK Charlottesville VA 22903,1540 JEFFERSON PARK,Charlottesville,VA,22903,38.032038,-78.505455,"(38.032038, -78.505455)"
88,2017-00000064,1611 UNIVERSITY Charlottesville VA 22903,1611 UNIVERSITY,Charlottesville,VA,22903,38.035864,-78.500699,"(38.035864, -78.500699)"
98,2017-00000070,1415 FOREST RIDGE Charlottesville VA 22903,1415 FOREST RIDGE,Charlottesville,VA,22903,38.023875,-78.498594,"(38.023875, -78.498594)"
101,2017-00000072,414 Moseley A Charlottesville VA 22903,414 Moseley A,Charlottesville,VA,22903,38.018017,-78.508029,"(38.018017, -78.508029)"
107,2017-00000075,140 CHEMISTRY Charlottesville VA 22904,140 CHEMISTRY,Charlottesville,VA,22904,38.033161,-78.510914,"(38.033161, -78.510914)"
113,2017-00000076,1300 Carlton Ave Charlottesville VA 22902,1300 Carlton Ave,Charlottesville,VA,22902,38.019199,-78.469151,"(38.019199, -78.469151)"
116,2017-00000079,415 Fairway Charlottesville VA 22902,415 Fairway,Charlottesville,VA,22902,38.028241,-78.463301,"(38.028241, -78.463301)"
121,2017-00000080,401 4th Northwest 219 Charlottesville VA 22903,401 4th Northwest 219,Charlottesville,VA,22903,38.034024,-78.485229,"(38.034024, -78.485229)"
127,2017-00000082,500 South 1st 407 Charlottesville VA 22902,500 South 1st 407,Charlottesville,VA,22902,38.027063,-78.482995,"(38.027063, -78.482995)"
132,2017-00000084,764 Prospect Ave D Charlottesville VA 22903,764 Prospect Ave D,Charlottesville,VA,22903,38.023315,-78.493913,"(38.023315, -78.493913)"
